ln94200-29-p1s1
1	Příští	AAIS4----1A----	Atr
2	týden	NNIS4-----A----	ExD

ln94200-29-p2s1A
1	29	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
5	porada	NNFS1-----A----	ExD
6	ministrů	NNMP2-----A----	Atr
7	o	RR--6----------	AuxP
8	státním	AAIS6----1A----	Atr
9	rozpočtu	NNIS6-----A----	Atr

ln94200-29-p2s1B
1	29	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
5	valná	AAFS1----1A----	Atr
6	hromada	NNFS1-----A----	ExD
7	a	AAXXX----1A---8	Atr
8	.	Z:-------------	AuxG
9	s	NNFXX-----A---8	Atr
10	.	Z:-------------	AuxG
11	Severosklo	NNNS1-----A----	Atr
12	,	Z:-------------	AuxX
13	Nový	AAIS1----1A----	Atr
14	Bor	NNIS1-----A----	Atr

ln94200-29-p2s2
1	29	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
5	valná	AAFS1----1A----	Atr
6	hromada	NNFS1-----A----	ExD
7	a	AAXXX----1A---8	Atr
8	.	Z:-------------	AuxG
9	s	NNFXX-----A---8	Atr
10	.	Z:-------------	AuxG
11	Mlýn	NNIS1-----A----	Atr
12	Čerčany	NNIP1-----A----	Atr

ln94200-29-p2s3
1	29	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
5	mimořádná	AAFS1----1A----	Atr
6	valná	AAFS1----1A----	Atr
7	hromada	NNFS1-----A----	ExD
8	a	AAXXX----1A---8	Atr
9	.	Z:-------------	AuxG
10	s	NNFXX-----A---8	Atr
11	.	Z:-------------	AuxG
12	Bioma	NNFS1-----A----	Atr
13	Dřevohostice	NNFP1-----A----	Atr

ln94200-29-p2s4
1	29	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
5	mimořádná	AAFS1----1A----	Atr
6	valná	AAFS1----1A----	Atr
7	hromada	NNFS1-----A----	ExD
8	a	AAXXX----1A---8	Atr
9	.	Z:-------------	AuxG
10	s	NNFXX-----A---8	Atr
11	.	Z:-------------	AuxG
12	Zemědělská	AAFS1----1A----	Atr
13	obchodní	AAFS1----1A----	Atr

ln94200-29-p2s5
1	30	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
5	mimořádná	AAFS1----1A----	Atr
6	valná	AAFS1----1A----	Atr
7	hromada	NNFS1-----A----	ExD
8	a	AAXXX----1A---8	Atr
9	.	Z:-------------	AuxG
10	s	NNFXX-----A---8	Atr
11	.	Z:-------------	AuxG
12	Kyselka	NNFS1-----A----	Atr
13	PRAGA	NNFS1-----A----	Atr

ln94200-29-p2s6
1	31	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
5	valná	AAFS1----1A----	Atr
6	hromada	NNFS1-----A----	ExD
7	a	AAXXX----1A---8	Atr
8	.	Z:-------------	AuxG
9	s	NNFXX-----A---8	Atr
10	.	Z:-------------	AuxG
11	První	CrIS1----------	Atr
12	severočeský	AAIS1----1A----	Atr
13	investiční	AAIS1----1A----	Atr
14	fond	NNIS1-----A----	Atr

ln94200-29-p2s7
1	31	C=-------------	Atr
2	.	Z:-------------	AuxG
3	8	C=-------------	ExD
4	.	Z:-------------	AuxG
