ln94209-29-p1s1
1	Bude	VB-S---3F-AA---	AuxV
2	fotbalový	AAMS1----1A----	Atr
3	mecenáš	NNMS1-----A----	Sb
4	kandidovat	Vf--------A----	Pred
5	?	Z:-------------	AuxK

ln94209-29-p2s1A
1	Praha	NNFS1-----A----	ExD
2	(	Z:-------------	ExD
3	mst	NNXXX-----A---8	ExD
4	)	Z:-------------	ExD
5	-	Z:-------------	AuxK

ln94209-29-p2s1B
1	Žižkovský	AAMS1----1A----	Atr
2	fotbalový	AAMS1----1A----	Atr
3	mecenáš	NNMS1-----A----	Atr
4	Vratislav	NNMS1-----A----	Atr
5	Čekan	NNMS1-----A----	Sb
6	není	VB-S---3P-NA---	Pred
7	uveden	VsYS---XX-AP---	Pnom
8	na	RR--6----------	AuxP
9	prvním	CrNS6----------	Atr
10	místě	NNNS6-----A----	Adv
11	kandidátky	NNFS2-----A----	Atr
12	sociální	AAFS2----1A----	Atr
13	demokracie	NNFS2-----A----	Atr
14	pro	RR--4----------	AuxP
15	Prahu	NNFS4-----A----	Atr
16	3	C=-------------	Atr
17	.	Z:-------------	AuxK

ln94209-29-p2s2
1	Vyplývá	VB-S---3P-AA---	Pred
2	to	PDNS1----------	Sb
3	z	RR--2----------	AuxP
4	informace	NNFS2-----A----	Obj
5	,	Z:-------------	AuxX
6	kterou	P4FS4----------	Obj
7	LN	NNFPX-----A---8	Obj
8	sdělil	VpYS---XR-AA---	Atr
9	tajemník	NNMS1-----A----	Atr
10	sociální	AAFS2----1A----	Atr
11	demokracie	NNFS2-----A----	Atr
12	v	RR--6----------	AuxP
13	Praze	NNFS6-----A----	Atr
14	3	C=-------------	Atr
15	M	NNMXX-----A---8	Atr
16	.	Z:-------------	AuxG
17	Kucián	NNMS1-----A----	Sb
18	.	Z:-------------	AuxK

ln94209-29-p2s3
1	Podle	RR--2----------	AuxP
2	něj	P5ZS2--3-------	Adv
3	není	VB-S---3P-NA---	Pred
4	konečná	AAFS1----1A----	Atr
5	podoba	NNFS1-----A----	Sb
6	kandidátní	AAFS2----1A----	Atr
7	listiny	NNFS2-----A----	Atr
8	hotova	ACQW------A----	Pnom
9	,	Z:-------------	AuxX
10	a	J^-------------	Coord
11	Čekan	NNMS1-----A----	Sb
12	proto	J^-------------	AuxY
13	nemůže	VB-S---3P-NA---	Pred
14	figurovat	Vf--------A----	Obj
15	na	RR--6----------	AuxP
16	jejím	PSZS6FS3-------	Atr
17	prvním	CrNS6----------	Atr
18	místě	NNNS6-----A----	Adv
19	.	Z:-------------	AuxK

ln94209-29-p2s4
1	Tím	PDZS7----------	Adv
2	ale	J^-------------	Coord
3	nevylučuji	VB-S---1P-NA--1	Obj
4	,	Z:-------------	AuxX
5	že	J,-------------	AuxC
6	se	P7-X4----------	AuxT
7	podnikatel	NNMS1-----A----	Atr
8	Čekan	NNMS1-----A----	Sb
9	na	RR--6----------	AuxP
10	kandidátce	NNFS6-----A----	Adv
11	ČSSD	NNFXX-----A---8	Atr
12	v	RR--6----------	AuxP
13	Praze	NNFS6-----A----	Atr
14	3	C=-------------	Atr
15	na	RR--6----------	AuxP
16	některém	PZZS6----------	Atr
17	místě	NNNS6-----A----	Adv
18	objeví	VB-S---3P-AA---	Obj
19	,	Z:-------------	AuxX
20	říká	VB-S---3P-AA---	Pred
21	Kucián	NNMS1-----A----	Sb
22	.	Z:-------------	AuxK

