ln94209-92-p1s1
1	Výsledkový	AAIS1----1A----	Atr
2	servis	NNIS1-----A----	ExD

ln94209-92-p8s1
1	Kolik	C?--4----------	Obj
2	jste	VB-P---2P-AA---	AuxV
3	vyhráli	VpMP---XR-AA---	Pred
4	?	Z:-------------	AuxK

ln94209-92-p9s2
1	Skóre	NNNS1-----A----	ExD
2	:	Z:-------------	Apos
3	V	RR--6----------	AuxP
4	I	C}-------------	Atr
5	.	Z:-------------	AuxG
6	a	J^-------------	Coord
7	II	C}-------------	Atr
8	.	Z:-------------	AuxG
9	pořadí	NNNS6-----A----	Adv
10	není	VB-S---3P-NA---	Pred
11	výhra	NNFS1-----A----	Sb
12	.	Z:-------------	AuxK

ln94209-92-p9s3
1	Sportka	NNFS1-----A----	ExD
2	-	Z:-------------	Coord
3	1	C=-------------	Atr
4	.	Z:-------------	AuxG
5	tah	NNIS1-----A----	ExD
6	:	Z:-------------	Apos
7	V	RR--6----------	AuxP
8	I	C}-------------	Atr
9	.	Z:-------------	AuxG
10	pořadí	NNNS6-----A----	Adv
11	není	VB-S---3P-NA---	Pred
12	výhra	NNFS1-----A----	Sb
13	,	Z:-------------	AuxX
14	ve	RV--6----------	AuxP
15	II	C}-------------	ExD
16	.	Z:-------------	AuxG
17	jsou	VB-P---3P-AA---	Pred
18	2	C=-------------	Atr
19	výhry	NNFP1-----A----	Sb
20	234143	C=-------------	Atr
21	Kč	NNFXX-----A----	Pnom
22	,	Z:-------------	AuxX
23	ve	RV--6----------	AuxP
24	III	C}-------------	ExD
25	.	Z:-------------	AuxG
26	je	VB-S---3P-AA---	Pred
27	46	C=-------------	Sb
28	výher	NNFP2-----A----	Atr
29	14543	C=-------------	Atr
30	Kč	NNFXX-----A----	Pnom
31	,	Z:-------------	AuxX
32	ve	RV--6----------	AuxP
33	IV	C}-------------	ExD
34	.	Z:-------------	AuxG
35	je	VB-S---3P-AA---	Pred
36	3195	C=-------------	Sb
37	výher	NNFP2-----A----	Atr
38	418	C=-------------	Pnom
39	Kč	NNFXX-----A----	Atr
40	a	J^-------------	Coord
41	v	RR--6----------	AuxP
42	V	C}-------------	ExD
43	.	Z:-------------	AuxG
44	je	VB-S---3P-AA---	Pred
45	64425	C=-------------	Sb
46	výher	NNFP2-----A----	Atr
47	44	C=-------------	Atr
48	Kč	NNFXX-----A----	Pnom
49	.	Z:-------------	AuxK

ln94209-92-p9s4
1	2	C=-------------	Atr
2	.	Z:-------------	AuxG
3	tah	NNIS1-----A----	ExD
4	:	Z:-------------	Apos
5	V	RR--6----------	AuxP
6	I	C}-------------	Atr
7	.	Z:-------------	AuxG
8	a	J^-------------	Coord
9	II	C}-------------	Atr
10	.	Z:-------------	AuxG
11	pořadí	NNNS6-----A----	Adv
12	není	VB-S---3P-NA---	Pred
13	výhra	NNFS1-----A----	Sb
14	,	Z:-------------	AuxX
15	ve	RV--6----------	AuxP
16	III	C}-------------	Atr
17	.	Z:-------------	AuxG
18	pořadí	NNNS6-----A----	ExD
19	20	C=-------------	ExD
20	výher	NNFP2-----A----	Atr
21	33449	C=-------------	ExD
22	Kč	NNFXX-----A----	Atr
23	,	Z:-------------	AuxX
24	ve	RV--6----------	AuxP
25	IV	C}-------------	ExD
26	.	Z:-------------	AuxG
27	je	VB-S---3P-AA---	Pred
28	2544	C=-------------	Sb
29	výher	NNFP2-----A----	Atr
30	525	C=-------------	Pnom
31	Kč	NNFXX-----A----	Atr
32	a	J^-------------	Coord
33	v	RR--6----------	AuxP
34	V	C}-------------	ExD
35	.	Z:-------------	AuxG
36	je	VB-S---3P-AA---	Pred
37	58587	C=-------------	Sb
38	výher	NNFP2-----A----	Atr
39	49	C=-------------	Pnom
40	Kč	NNFXX-----A----	Atr
41	.	Z:-------------	AuxK

ln94209-92-p9s5
1	Sázka	NNFS1-----A----	ExD
2	5	C=-------------	Atr
3	ze	RV--2----------	AuxP
4	40	C=-------------	Atr
5	:	Z:-------------	Apos
6	V	RR--6----------	AuxP
7	I	C}-------------	Atr
8	.	Z:-------------	AuxG
9	pořadí	NNNS6-----A----	Adv
10	je	VB-S---3P-AA---	Pred
11	1	C=-------------	Atr
12	výhra	NNFS1-----A----	Sb
13	423952	C=-------------	Atr
14	Kč	NNFXX-----A----	Pnom
15	,	Z:-------------	AuxX
16	ve	RV--6----------	AuxP
17	II	C}-------------	ExD
18	.	Z:-------------	AuxG
19	je	VB-S---3P-AA---	Pred
20	54	C=-------------	Sb
21	výher	NNFP2-----A----	Atr
22	2633	C=-------------	Atr
23	Kč	NNFXX-----A----	Pnom
24	a	J^-------------	Coord
25	ve	RV--6----------	AuxP
26	III	C}-------------	ExD
27	.	Z:-------------	AuxG
28	je	VB-S---3P-AA---	Pred
29	1483	C=-------------	Sb
30	výher	NNFP2-----A----	Atr
31	100	C=-------------	Pnom
32	Kč	NNFXX-----A----	Atr
33	.	Z:-------------	AuxK

ln94209-92-p9s6
1	Mates	NNMS1-----A----	ExD
2	:	Z:-------------	Apos
3	V	RR--6----------	AuxP
4	I	C}-------------	Atr
5	.	Z:-------------	AuxG
6	pořadí	NNNS6-----A----	Adv
7	je	VB-S---3P-AA---	Pred
8	1	C=-------------	Atr
9	výhra	NNFS1-----A----	Sb
10	102989	C=-------------	Pnom
11	Kč	NNFXX-----A----	Atr
12	,	Z:-------------	AuxX
13	ve	RV--6----------	AuxP
14	II	C}-------------	ExD
15	.	Z:-------------	AuxG
16	je	VB-S---3P-AA---	Pred
17	107	C=-------------	Sb
18	výher	NNFP2-----A----	Atr
19	1462	C=-------------	Atr
20	Kč	NNFXX-----A----	Pnom
21	a	J^-------------	Coord
22	ve	RV--6----------	AuxP
23	III	C}-------------	ExD
24	.	Z:-------------	AuxG
25	je	VB-S---3P-AA---	Pred
26	3110	C=-------------	Sb
27	výher	NNFP2-----A----	Atr
28	82	C=-------------	Atr
29	Kč	NNFXX-----A----	Pnom
30	.	Z:-------------	AuxK

ln94209-92-p9s7
1	Šance	NNFS1-----A----	ExD
2	:	Z:-------------	Apos
3	V	RR--6----------	AuxP
4	I	C}-------------	Atr
5	.	Z:-------------	AuxG
6	pořadí	NNNS6-----A----	Adv
7	není	VB-S---3P-NA---	Pred
8	výhra	NNFS1-----A----	Sb
9	,	Z:-------------	AuxX
10	ve	RV--6----------	AuxP
11	II	C}-------------	ExD
12	.	Z:-------------	AuxG
13	jsou	VB-P---3P-AA---	Pred
14	2	C=-------------	Atr
15	výhry	NNFP1-----A----	Sb
16	100000	C=-------------	Pnom
17	Kč	NNFXX-----A----	Atr
18	,	Z:-------------	AuxX
19	ve	RV--6----------	AuxP
20	III	C}-------------	ExD
21	.	Z:-------------	AuxG
22	je	VB-S---3P-AA---	Pred
23	26	C=-------------	Sb
24	výher	NNFP2-----A----	Atr
25	10000	C=-------------	Pnom
26	Kč	NNFXX-----A----	Atr
27	,	Z:-------------	AuxX
28	ve	RV--6----------	AuxP
29	IV	C}-------------	ExD
30	.	Z:-------------	AuxG
31	je	VB-S---3P-AA---	Pred
32	209	C=-------------	Sb
33	výher	NNFP2-----A----	Atr
34	1000	C=-------------	Pnom
35	Kč	NNFXX-----A----	Atr
36	a	J^-------------	Coord
37	v	RR--6----------	AuxP
38	V	C}-------------	ExD
39	.	Z:-------------	AuxG
40	je	VB-S---3P-AA---	Pred
41	2490	C=-------------	Sb
42	výher	NNFP2-----A----	Atr
43	100	C=-------------	Pnom
44	Kč	NNFXX-----A----	Atr
45	.	Z:-------------	AuxK

