lnd91301-010-p1s1
1	PŘÍSLUŠNÍCI	NNMP1-----A----	Sb
2	OPOZIČNÍ	AAFS2----1A----	Atr
3	Národní	AAFS2----1A----	Atr
4	gardy	NNFS2-----A----	Atr
5	(	Z:-------------	AuxG
6	na	RR--6----------	AuxP
7	snímku	NNIS6-----A----	ExD
8	)	Z:-------------	AuxG
9	obsadili	VpMP---XR-AA---	Pred
10	sídlo	NNNS4-----A----	Obj
11	tajné	AAFS2----1A----	Atr
12	gruzínské	AAFS2----1A----	Atr
13	policie	NNFS2-----A----	Atr
14	a	J^-------------	Coord
15	osvobodili	VpMP---XR-AA---	Pred
16	několik	Ca--4----------	Obj
17	vězňů	NNMP2-----A----	Atr
18	.	Z:-------------	AuxK

lnd91301-010-p1s2
1	(	Z:-------------	ExD
2	Zpravodajství	NNNS1-----A----	ExD
3	z	RR--2----------	AuxP
4	Gruzie	NNFS2-----A----	Atr
5	na	RR--6----------	AuxP
6	4	C=-------------	Atr
7	.	Z:-------------	AuxG
8	str	NNFXX-----A---8	ExD
9	.	Z:-------------	AuxG
10	)	Z:-------------	ExD

lnd91301-010-p2s1
1	Telefoto	NNNS1-----A----	ExD
2	ČSTK	NNFXX-----A---8	ExD
3	/	Z:-------------	Coord
4	AP	NNFXX-----A----	ExD

