lnd91303-074-p1s1
1	TO	PDNS1----------	AuxO
2	ZÍRÁTE	VB-P---2P-AA---	Pred

lnd91303-074-p2s1
1	(	Z:-------------	ExD
2	LN	NNFPX-----A---8	ExD
3	č	NNNXX-----A---8	Atr
4	.	Z:-------------	AuxG
5	284	C=-------------	Atr
6	)	Z:-------------	ExD

lnd91303-074-p3s1
1	V	RR--6----------	AuxP
2	posledních	AAIP6----1A----	Atr
3	týdnech	NNIP6-----A----	Adv
4	při	RR--6----------	AuxP
5	sledování	NNNS6-----A----	Adv
6	večerních	AAIP2----1A----	Atr
7	programů	NNIP2-----A----	Atr
8	čs	AAXXX----1A---8	Atr
9	.	Z:-------------	AuxG
10	televize	NNFS2-----A----	Atr
11	jsem	VB-S---1P-AA---	AuxV
12	měl	VpYS---XR-AA---	Pred
13	pocit	NNIS4-----A----	Obj
14	,	Z:-------------	AuxX
15	že	J,-------------	AuxC
16	hlavní	AAFS7----1A----	Atr
17	náplní	NNFS7-----A----	Pnom
18	večerních	AAIP2----1A----	Atr
19	programů	NNIP2-----A----	Atr
20	tohoto	PDZS2----------	Atr
21	masmédia	NNNS2-----A----	Atr
22	je	VB-S---3P-AA---	Atr
23	reklama	NNFS1-----A----	Sb
24	firmy	NNFS2-----A----	Atr
25	Procter	NNIXX-----A----	Atr
26	and	J^-------------	Atr
27	Gamble	NNIXX-----A----	Atr
28	.	Z:-------------	AuxK

lnd91303-074-p3s2
1	"	Z:-------------	AuxG
2	Prací	AAIS1----1A----	Atr
3	prášek	NNIS1-----A----	Sb
4	Ariel	NNIS1-----A----	Atr
5	či	J^-------------	Coord
6	Vizír	NNIS1-----A----	Atr
7	nejen	TT-------------	AuxZ
8	vypere	VB-S---3P-AA---	Pred
9	,	Z:-------------	AuxX
10	ale	J^-------------	Coord
11	i	J^-------------	AuxZ
12	důkladně	Dg-------1A----	Adv
13	propere	VB-S---3P-AA---	Pred
14	!	Z:-------------	AuxK
15	"	Z:-------------	AuxG

lnd91303-074-p4s1
1	Co	PQ--4----------	Obj
2	ale	J^-------------	Coord
3	těmto	PDXP3----------	Atr
4	"	Z:-------------	AuxG
5	špičkovým	AAIP3----1A----	Atr
6	přípravkům	NNIP3-----A----	Obj
7	"	Z:-------------	AuxG
8	říká	VB-S---3P-AA---	Atr
9	náš	PSYS1-P1-------	Atr
10	zákon	NNIS1-----A----	Sb
11	o	RR--6----------	AuxP
12	ekologii	NNFS6-----A----	Atr
13	,	Z:-------------	AuxX
