lnd94103-125-p1s1
1	Kolik	C?--4----------	Obj
2	jste	VB-P---2P-AA---	AuxV
3	vyhráli	VpMP---XR-AA---	Pred
4	?	Z:-------------	AuxK

lnd94103-125-p1s2
1	V	RR--6----------	AuxP
2	18	C=-------------	Atr
3	.	Z:-------------	AuxG
4	týdnu	NNIS6-----A----	Adv
5	Sazky	NNFS2-----A----	Atr
6	jsou	VB-P---3P-AA---	Pred
7	v	RR--6----------	AuxP
8	I	C}-------------	Atr
9	.	Z:-------------	AuxG
10	pořadí	NNNS6-----A----	Adv
11	3	C=-------------	Atr
12	výhry	NNFP1-----A----	Sb
13	po	RR--6----------	AuxP
14	154731	C=-------------	Atr
15	Kč	NNFXX-----A----	Atr
16	,	Z:-------------	AuxX
17	ve	RV--6----------	AuxP
18	II	C}-------------	ExD
19	.	Z:-------------	AuxG
20	je	VB-S---3P-AA---	Pred
21	122	C=-------------	Sb
22	výher	NNFP2-----A----	Atr
23	po	RR--6----------	AuxP
24	849	C=-------------	Atr
25	Kč	NNFXX-----A----	Atr
26	,	Z:-------------	Coord
27	ve	RV--6----------	AuxP
28	III	C}-------------	ExD
29	.	Z:-------------	AuxG
30	1887	C=-------------	ExD
31	výher	NNFP2-----A----	Atr
32	po	RR--6----------	AuxP
33	73	C=-------------	Atr
34	Kč	NNFXX-----A----	Atr
35	.	Z:-------------	AuxK

lnd94103-125-p1s4
1	V	RR--6----------	AuxP
2	18	C=-------------	Atr
3	.	Z:-------------	AuxG
4	týdnu	NNIS6-----A----	Adv
5	Skóre	NNNS2-----A----	Atr
6	v	RR--6----------	AuxP
7	I	C}-------------	Atr
8	.	Z:-------------	AuxG
9	pořadí	NNNS6-----A----	Adv
10	není	VB-S---3P-NA---	Pred
11	žádná	PWFS1----------	Atr
12	výhra	NNFS1-----A----	Sb
13	,	Z:-------------	Coord
14	ve	RV--6----------	AuxP
15	II	C}-------------	ExD
16	.	Z:-------------	AuxG
17	je	VB-S---3P-AA---	Pred
18	1	C=-------------	Atr
19	výhra	NNFS1-----A----	Sb
20	3337	C=-------------	Atr
21	Kč	NNFXX-----A----	Atr
22	.	Z:-------------	AuxK

lnd94103-125-p1s5
1	V	RR--6----------	AuxP
2	prvním	CrIS6----------	Atr
3	tahu	NNIS6-----A----	Adv
4	18	C=-------------	Atr
5	.	Z:-------------	AuxG
6	týdne	NNIS2-----A----	Atr
7	Sportky	NNFS2-----A----	Atr
8	v	RR--6----------	AuxP
9	I	C}-------------	Atr
10	.	Z:-------------	AuxG
11	pořadí	NNNS6-----A----	Adv
12	není	VB-S---3P-NA---	Pred
13	žádná	PWFS1----------	Atr
14	výhra	NNFS1-----A----	Sb
15	,	Z:-------------	AuxX
16	ve	RV--6----------	AuxP
17	II	C}-------------	ExD
18	.	Z:-------------	AuxG
19	jsou	VB-P---3P-AA---	Pred
20	3	C=-------------	Atr
21	výhry	NNFP1-----A----	Sb
22	po	RR--6----------	AuxP
23	166237	C=-------------	Atr
24	Kč	NNFXX-----A----	Atr
25	,	Z:-------------	AuxX
26	ve	RV--6----------	AuxP
27	III	C}-------------	ExD
28	.	Z:-------------	AuxG
29	je	VB-S---3P-AA---	Pred
30	89	C=-------------	Sb
31	výher	NNFP2-----A----	Atr
32	po	RR--6----------	AuxP
33	8005	C=-------------	Atr
34	Kč	NNFXX-----A----	Atr
35	,	Z:-------------	AuxX
36	ve	RV--6----------	AuxP
37	IV	C}-------------	ExD
38	.	Z:-------------	AuxG
39	je	VB-S---3P-AA---	Pred
40	4973	C=-------------	Sb
41	výher	NNFP2-----A----	Atr
42	po	RR--6----------	AuxP
43	286	C=-------------	Atr
44	Kč	NNFXX-----A----	Atr
45	,	Z:-------------	Coord
