mf920901-013-p1s1
1	Jaké	P4IP1----------	Pnom
2	ještě	Db-------------	AuxZ
3	letos	Db-------------	Adv
4	budou	VB-P---3F-AA---	Pred
5	pohyby	NNIP1-----A----	Sb
6	cen	NNFP2-----A----	Atr

mf920901-013-p2s1
1	Vodné	NNNS1-----A----	Sb
2	a	J^-------------	Coord
3	stočné	NNNS1-----A----	Sb
4	má	VB-S---3P-AA---	Pred
5	od	RR--2----------	AuxP
6	dnešního	AAIS2----1A----	Atr
7	dne	NNIS2-----A----	Adv
8	nové	AAFP4----1A----	Atr
9	maximální	AAFP4----1A----	Atr
10	ceny	NNFP4-----A----	Obj
11	-	Z:-------------	Apos
12	pět	Cn-S4----------	Atr
13	a	J^-------------	Coord
14	čtyři	ClXP4----------	Atr
15	koruny	NNFP4-----A----	Obj
16	za	RR--4----------	AuxP
17	metr	NNIS4-----A----	Atr
18	krychlový	AAIS4----1A----	Atr
19	.	Z:-------------	AuxK

mf920901-013-p2s2
1	Ode	RV--2----------	AuxP
2	dneška	NNIS2-----A----	Adv
3	také	Db-------------	Adv
4	platí	VB-P---3P-AA---	Pred
5	nové	AAFP1----1A----	Atr
6	sazby	NNFP1-----A----	Sb
7	daně	NNFS2-----A----	Atr
8	z	RR--2----------	AuxP
9	obratu	NNIS2-----A----	Atr
10	pro	RR--4----------	AuxP
11	cigarety	NNFP4-----A----	Atr
12	,	Z:-------------	AuxX
13	alkohol	NNIS4-----A----	Atr
14	a	J^-------------	Coord
15	benzín	NNIS4-----A----	Atr
16	,	Z:-------------	Coord
17	o	RR--4----------	AuxP
18	něco	PZ--4----------	Adv
19	dráže	Dg-------2A---1	Adv
20	budeme	VB-P---1F-AA---	AuxV
21	jezdit	Vf--------A----	Pred
22	lůžkovými	AAIP7----1A----	Atr
23	a	J^-------------	Coord
24	lehátkovými	AAIP7----1A----	Atr
25	vagóny	NNIP7-----A----	Adv
26	.	Z:-------------	AuxK

mf920901-013-p2s3
1	Ještě	Db-------------	AuxZ
2	v	RR--6----------	AuxP
3	září	NNNS6-----A----	Adv
4	přejdou	VB-P---3P-AA---	Pred
5	na	RR--4----------	AuxP
6	občany	NNMP4-----A----	Adv
7	v	RR--6----------	AuxP
8	plné	AAFS6----1A----	Atr
9	výši	NNFS6-----A----	Adv
10	platby	NNFP1-----A----	Sb
11	za	RR--4----------	AuxP
12	některé	PZYP4----------	Atr
13	léky	NNIP4-----A----	Atr
14	,	Z:-------------	Coord
15	pravděpodobně	Dg-------1A----	AuxY
16	od	RR--2----------	AuxP
17	začátku	NNIS2-----A----	Adv
18	října	NNIS2-----A----	Atr
19	podraží	VB-P---3P-AA---	Pred
20	telefonní	AAIP1----1A----	Atr
21	hovory	NNIP1-----A----	Sb
22	.	Z:-------------	AuxK

mf920901-013-p2s4
1	Od	RR--2----------	AuxP
2	stejného	AANS2----1A----	Atr
3	data	NNNS2-----A----	Adv
4	lze	VB-S---3P-AA---	Pred
5	počítat	Vf--------A----	Sb
6	s	RR--7----------	AuxP
7	dražším	AANS7----2A----	Atr
8	jízdným	NNNS7-----A----	Obj
9	v	RR--6----------	AuxP
10	pražské	AAFS6----1A----	Atr
11	městské	AAFS6----1A----	Atr
12	hromadné	AAFS6----1A----	Atr
13	dopravě	NNFS6-----A----	Atr
14	.	Z:-------------	AuxK

