mf920902-028-p1s1
1	Nehody	NNFP1-----A----	ExD
2	ministrů	NNMP2-----A----	Atr

mf920902-028-p2s1
1	Před	RR--7----------	AuxP
2	dvěma	ClXP7----------	Atr
3	lety	NNNP7-----A----	Adv
4	26	C=-------------	Atr
5	.	Z:-------------	AuxG
6	května	NNIS2-----A----	Adv
7	havaroval	VpYS---XR-AA---	Pred
8	u	RR--2----------	AuxP
9	obce	NNFS2-----A----	Adv
10	Kamenice	NNFS1-----A----	Atr
11	na	RR--6----------	AuxP
12	dálnici	NNFS6-----A----	Adv
13	D	NNFXX-----A---8	Atr
14	1	C=-------------	Atr
15	tehdejší	AAMS1----1A----	Atr
16	ministr	NNMS1-----A----	Atr
17	zahraničního	AAIS2----1A----	Atr
18	obchodu	NNIS2-----A----	Atr
19	Jozef	NNMS1-----A----	Atr
20	Bakšay	NNMS1-----A----	Sb
21	.	Z:-------------	AuxK

mf920902-028-p2s2
1	Jeho	PSXXXZS3-------	Atr
2	vůz	NNIS1-----A----	Sb
3	Saab	NNIXX-----A----	Atr
4	9000	C=-------------	Atr
5	turbo	NNNS1-----A----	Atr
6	vybočil	VpYS---XR-AA---	Pred
7	náhle	Dg-------1A----	Adv
8	ze	RV--2----------	AuxP
9	silnice	NNFS2-----A----	Adv
10	a	J^-------------	Coord
11	sjel	VpYS---XR-AA---	Pred
12	do	RR--2----------	AuxP
13	příkopu	NNIS2-----A----	Adv
14	,	Z:-------------	AuxX
15	kde	Db-------------	Adv
16	se	P7-X4----------	AuxT
17	převrátil	VpYS---XR-AA---	Atr
18	.	Z:-------------	AuxK

mf920902-028-p2s3
1	J	NNMXX-----A---8	Atr
2	.	Z:-------------	AuxG
3	Bakšay	NNMS1-----A----	Sb
4	,	Z:-------------	AuxX
5	jenž	PJYS1----------	Sb
6	svůj	P8IS4----------	Atr
7	vůz	NNIS4-----A----	Obj
8	řídil	VpYS---XR-AA---	Atr
9	sám	PLYS1----------	Atv
10	,	Z:-------------	AuxX
11	utrpěl	VpYS---XR-AA---	Pred
12	četná	AANP4----1A----	Atr
13	vážná	AANP4----1A----	Atr
14	poranění	NNNP4-----A----	Obj
15	.	Z:-------------	AuxK

mf920902-028-p2s4
1	Ministr	NNMS1-----A----	Sb
2	si	P7-X3----------	AuxT
3	po	RR--6----------	AuxP
4	těžkém	AAIS6----1A----	Atr
5	otřesu	NNIS6-----A----	Adv
6	mozku	NNIS2-----A----	Atr
7	průběh	NNIS4-----A----	Obj
8	nehody	NNFS2-----A----	Atr
9	nepamatoval	VpYS---XR-NA---	Pred
10	.	Z:-------------	AuxK

mf920902-028-p2s5
1	Policie	NNFS1-----A----	Sb
