mf920922-091-p1s1
1	stíny	NNIP1-----A----	ExD

mf920922-091-p2s1
1	PRODAL	VpYS---XR-AA---	Pred
2	PŮJČENÉ	AANS4----1A----	Obj
3	.	Z:-------------	AuxK

mf920922-091-p2s2
1	Neoprávněného	AANS2----1N----	Atr
2	užívání	NNNS2-----A----	Obj
3	cizí	AAFS2----1A----	Atr
4	věci	NNFS2-----A----	Atr
5	se	P7-X4----------	AuxT
6	dopustil	VpYS---XR-AA---	Pred
7	25	C=-------------	Adv
8	letý	AAMS1----1A----	Atr
9	muž	NNMS1-----A----	Sb
10	z	RR--2----------	AuxP
11	Prahy	NNFS2-----A----	Atr
12	.	Z:-------------	AuxK

mf920922-091-p2s3
1	Letos	Db-------------	Adv
2	v	RR--6----------	AuxP
3	červenci	NNIS6-----A----	Adv
4	si	P7-X3----------	Adv
5	od	RR--2----------	AuxP
6	známého	NNMS2-----A----	Obj
7	ve	RV--6----------	AuxP
8	Vrchlabí	NNNS6-----A----	AtrAdv
9	půjčil	VpYS---XR-AA---	Pred
10	vůz	NNIS4-----A----	Obj
11	Fiat	NNIS4-----A----	Atr
12	127	C=-------------	Atr
13	a	J^-------------	Coord
14	zanedlouho	Db-------------	Adv
15	jej	PPZS4--3------2	Obj
16	na	RR--6----------	AuxP
17	Českobudějovicku	NNNS6-----A----	Adv
18	prodal	VpYS---XR-AA---	Pred
19	.	Z:-------------	AuxK

mf920922-091-p2s4
1	Rifle	NNFP4-----A----	Obj
2	,	Z:-------------	AuxX
3	kazety	NNFP4-----A----	Obj
4	,	Z:-------------	AuxX
5	marky	NNFP4-----A----	Obj
6	a	J^-------------	Coord
7	další	AAFP4----1A----	Atr
8	cennosti	NNFP4-----A----	Obj
9	položené	AAFP4----1A----	Atr
10	ve	RV--6----------	AuxP
11	fiatu	NNIS6-----A----	Adv
12	si	P7-X3----------	Obj
13	ponechal	VpYS---XR-AA---	Pred
14	.	Z:-------------	AuxK

mf920922-091-p2s5
1	Vůz	NNIS4-----A----	Obj
2	zajistili	VpMP---XR-AA---	Pred
3	policisté	NNMP1-----A----	Sb
4	v	RR--6----------	AuxP
5	Soběslavi	NNFS6-----A----	Adv
6	.	Z:-------------	AuxK

mf920922-091-p2s6
1	Proti	RR--3----------	AuxP
2	pachateli	NNMS3-----A----	Adv
3	vedou	VB-P---3P-AA---	Pred
4	trestní	AANS4----1A----	Atr
5	stíhání	NNNS4-----A----	Obj
6	policisté	NNMP1-----A----	Sb
7	v	RR--6----------	AuxP
8	Jilemnici	NNFS6-----A----	AtrAdv
9	.	Z:-------------	AuxK

