mf920923-060-p1s1
1	Až	TT-------------	AuxZ
2	soud	NNIS1-----A----	Sb
3	rozhodl	VpYS---XR-AA--1	Pred
4	o	RR--6----------	AuxP
5	tom	PDZS6----------	Obj
6	,	Z:-------------	AuxX
7	že	J,-------------	AuxC
8	dnešní	AAIS4----1A----	Atr
9	přátelský	AAIS4----1A----	Atr
10	zápas	NNIS4-----A----	Obj
11	Lazio	NNNS1-----A----	Atr
12	Řím	NNIS1-----A----	Atr
13	(	Z:-------------	ExD
14	Gascoigne	NNMS1-----A----	ExD
15	)	Z:-------------	ExD
16	proti	RR--3----------	AuxP
17	Tottenhamu	NNIS3-----A----	Atr
18	(	Z:-------------	ExD
19	jeho	PSXXXZS3-------	Atr
20	bývalý	AAIS1----1A----	Atr
21	klub	NNIS1-----A----	ExD
22	)	Z:-------------	ExD
23	může	VB-S---3P-AA---	Atr
24	přímo	Dg-------1A----	Adv
25	vysílat	Vf--------A----	Obj
26	britská	AAFS1----1A----	Atr
27	satelitní	AAFS1----1A----	Atr
28	televizní	AAFS1----1A----	Atr
29	stanice	NNFS1-----A----	Sb
30	BSkyB	NNXXX-----A---8	Atr
31	.	Z:-------------	AuxK

mf920923-060-p1s2
1	Anglická	AAFS1----1A----	Atr
2	fotbalová	AAFS1----1A----	Atr
3	asociace	NNFS1-----A----	Sb
4	s	RR--7----------	AuxP
5	tím	PDZS7----------	Obj
6	nesouhlasila	VpQW---XR-NA---	Pred
7	a	J^-------------	Coord
8	trvala	VpQW---XR-AA---	Pred
9	na	RR--6----------	AuxP
10	předem	Db-------------	Adv
11	dohodnutých	AAIP6----1A----	Atr
12	přenosech	NNIP6-----A----	Obj
13	z	RR--2----------	AuxP
14	domácí	AAFS2----1A----	Atr
15	pohárové	AAFS2----1A----	Atr
16	soutěže	NNFS2-----A----	Atr
17	.	Z:-------------	AuxK

mf920923-060-p2s1
1	Vedení	NNNS1-----A----	Sb
2	Ferencvárosu	NNIS2-----A----	Atr
3	protestuje	VB-S---3P-AA---	Pred
4	proti	RR--3----------	AuxP
5	pokutě	NNFS3-----A----	Obj
6	15000	C=-------------	Atr
7	švýcarských	AAIP2----1A----	Atr
8	franků	NNIP2-----A----	Atr
9	udělené	AAFS3----1A----	Atr
10	UEFA	NNFXX-----A---8	Obj
11	,	Z:-------------	AuxX
12	kterou	P4FS4----------	Obj
13	má	VB-S---3P-AA---	Atr
14	zaplatit	Vf--------A----	Obj
15	za	RR--4----------	AuxP
16	chování	NNNS4-----A----	Obj
17	svých	P8XP2----------	Atr
18	fanoušků	NNMP2-----A----	Atr
19	při	RR--6----------	AuxP
20	utkání	NNNS6-----A----	Atr
21	PMEZ	NNIXX-----A---8	Atr
22	v	RR--6----------	AuxP
23	Bratislavě	NNFS6-----A----	Atr
24	.	Z:-------------	AuxK

mf920923-060-p3s1
1	Kvalifikace	NNFS1-----A----	Sb
2	ME	NNNXX-----A---8	Atr
3	do	RR--2----------	AuxP
4	21	C=-------------	Atr
5	let	NNNP2-----A----	Atr
6	:	Z:-------------	Pred
7	Polsko	NNNS1-----A----	ExD
8	-	Z:-------------	Coord
9	Turecko	NNNS1-----A----	ExD
10	3	C=-------------	ExD
11	:	Z:-------------	Coord
12	0	C=-------------	ExD
13	(	Z:-------------	ExD
14	2	C=-------------	ExD
15	:	Z:-------------	Coord
16	0	C=-------------	ExD
17	)	Z:-------------	ExD
18	,	Z:-------------	Coord
19	Norsko	NNNS1-----A----	ExD
20	-	Z:-------------	Coord
21	Nizozemsko	NNNS1-----A----	ExD
22	1	C=-------------	ExD
23	:	Z:-------------	Coord
24	0	C=-------------	ExD
25	(	Z:-------------	ExD
26	0	C=-------------	ExD
27	:	Z:-------------	Coord
28	0	C=-------------	ExD
29	)	Z:-------------	ExD
30	.	Z:-------------	AuxK

