mf920923-091-p1s1
1	poznámky	NNFP1-----A----	ExD

mf920923-091-p2s1
1	A	J^-------------	Coord
2	ZVOLÍ	VB-S---3P-AA---	Pred
3	SE	P7-X4----------	AuxR
4	ŘEDITEL	NNMS1-----A----	Sb
5	.	Z:-------------	AuxK
6	.	Z:-------------	AuxK
7	.	Z:-------------	AuxK

mf920923-091-p2s2
1	Ústavněprávní	AAIS1----1A----	Atr
2	výbor	NNIS1-----A----	Sb
3	SNR	NNFXX-----A---8	Atr
4	včera	Db-------------	Adv
5	doporučil	VpYS---XR-AA---	Pred
6	plénu	NNNS3-----A----	Obj
7	SNR	NNFXX-----A---8	Atr
8	schválit	Vf--------A----	Obj
9	vládní	AAIS4----1A----	Atr
10	návrh	NNIS4-----A----	Obj
11	zákona	NNIS2-----A----	Atr
12	o	RR--6----------	AuxP
13	STV	NNFXX-----A---8	Atr
14	a	J^-------------	Coord
15	rozhlase	NNIS6-----A----	Atr
16	.	Z:-------------	AuxK

mf920923-091-p2s3
1	Za	RR--4----------	AuxP
2	skutečně	Dg-------1A----	Adv
3	"	Z:-------------	AuxG
4	brilantní	AAFS4----1A----	Obj
5	"	Z:-------------	AuxG
6	je	VB-S---3P-AA---	Pred
7	možné	AANS1----1A----	Pnom
8	označit	Vf--------A----	Sb
9	formulaci	NNFS4-----A----	Obj
10	,	Z:-------------	AuxX
11	která	P4FS1----------	Sb
12	se	P7-X4----------	AuxT
13	v	RR--6----------	AuxP
14	něm	P5ZS6--3-------	Adv
15	vyskytuje	VB-S---3P-AA---	Atr
16	a	J^-------------	Coord
17	která	P4FS1----------	Sb
18	hovoří	VB-S---3P-AA---	Atr
19	o	RR--6----------	AuxP
20	funkci	NNFS6-----A----	Obj
21	ústředního	AAMS2----1A----	Atr
22	ředitele	NNMS2-----A----	Atr
23	STV	NNFXX-----A---8	Atr
24	.	Z:-------------	AuxK

mf920923-091-p2s4
1	Podle	RR--2----------	AuxP
2	návrhu	NNIS2-----A----	Adv
3	by	Vc-------------	AuxV
4	měl	VpYS---XR-AA---	Pred
5	být	Vf--------A----	AuxV
6	volen	VsYS---XX-AP---	Obj
7	plénem	NNNS7-----A----	Obj
8	SNR	NNFXX-----A---8	Atr
9	.	Z:-------------	AuxK

mf920923-091-p2s5
1	I	J^-------------	AuxY
2	když	J,-------------	AuxC
3	ani	J^-------------	AuxZ
4	toto	NNNS1-----A----	Sb
5	není	VB-S---3P-NA---	Adv
6	obvyklé	AANS1----1A----	Pnom
7	a	J^-------------	Coord
8	snižuje	VB-S---3P-AA---	Adv
9	to	PDNS1----------	Sb
10	úlohu	NNFS4-----A----	Obj
11	rady	NNFS2-----A----	Atr
12	STV	NNFXX-----A---8	Atr
13	,	Z:-------------	AuxX
14	protože	J,-------------	AuxC
15	plénum	NNNS1-----A----	Sb
16	nemusí	VB-S---3P-NA---	Adv
17	její	PSIS4FS3-------	Atr
18	návrh	NNIS4-----A----	Obj
19	na	RR--4----------	AuxP
20	ředitele	NNMS4-----A----	Atr
21	schválit	Vf--------A----	Obj
22	,	Z:-------------	AuxX
23	poslanci	NNMP1-----A----	Sb
24	včera	Db-------------	Adv
25	zašli	VpMP---XR-AA---	Pred
26	ještě	Db-------------	AuxZ
27	dál	Dg-------2A----	Adv
28	.	Z:-------------	AuxK

mf920923-091-p2s6
1	Radu	NNFS4-----A----	Obj
