vesm9303-048-p1s1
1	Akademický	AAIS1----1A----	Atr
2	senát	NNIS1-----A----	Sb
3	3	C=-------------	Atr
4	.	Z:-------------	AuxG
5	lékařské	AAFS2----1A----	Atr
6	fakulty	NNFS2-----A----	Atr
7	Univerzity	NNFS2-----A----	Atr
8	Karlovy	AUFS2M---------	Atr
9	udělil	VpYS---XR-AA---	Pred
10	jako	J,-------------	AuxY
11	cenu	NNFS4-----A----	Atv
12	předplatné	NNNS4-----A----	Obj
13	na	RR--4----------	AuxP
14	Vesmír	NNIS4-----A----	Atr
15	těmto	PDXP3----------	Atr
16	studentům	NNMP3-----A----	Obj
17	:	Z:-------------	AuxK

vesm9303-048-p2s1
1	*	Z:-------------	ExD
2	Michalu	NNMS3-----A---1	Atr
3	Koutskému	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Praha	NNFS1-----A----	ExD
6	10	C=-------------	Atr
7	,	Z:-------------	Coord
8	II	C}-------------	Atr
9	.	Z:-------------	AuxG
10	roč	NNIXX-----A---8	ExD
11	.	Z:-------------	AuxG
12	,	Z:-------------	ExD
13	za	RR--4----------	AuxP
14	vynikající	AGIP4-----A----	Atr
15	studijní	AAIP4----1A----	Atr
16	výsledky	NNIP4-----A----	ExD
17	(	Z:-------------	ExD
18	průměr	NNIS1-----A----	ExD
19	1.17	C=-------------	Atr
20	)	Z:-------------	ExD
21	,	Z:-------------	AuxX
22	organizování	NNNS4-----A----	ExD
23	sportovních	AAFP2----1A----	Atr
24	akcí	NNFP2-----A----	Atr
25	a	J^-------------	Coord
26	reprezentaci	NNFS4-----A----	ExD
27	fakulty	NNFS2-----A----	Atr
28	v	RR--6----------	AuxP
29	hokejbalu	NNIS6-----A---1	Atr
30	.	Z:-------------	AuxK

vesm9303-048-p3s1
1	*	Z:-------------	ExD
2	Michalu	NNMS3-----A---1	Atr
3	Otáhalovi	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Praha	NNFS1-----A----	ExD
6	9	C=-------------	Atr
7	,	Z:-------------	Coord
8	II	C}-------------	Atr
9	.	Z:-------------	AuxG
10	roč	NNIXX-----A---8	ExD
11	.	Z:-------------	AuxG
12	,	Z:-------------	ExD
13	za	RR--4----------	AuxP
14	vynikající	AGIP4-----A----	Atr
15	studijní	AAIP4----1A----	Atr
16	výsledky	NNIP4-----A----	ExD
17	(	Z:-------------	ExD
18	průměr	NNIS1-----A----	ExD
19	1.0	C=-------------	Atr
20	)	Z:-------------	ExD
21	a	J^-------------	Coord
22	za	RR--4----------	AuxP
23	pomoc	NNFS4-----A----	ExD
24	Pražské	AAFS3----1A----	Atr
25	záchranné	AAFS3----1A----	Atr
26	službě	NNFS3-----A----	Atr
27	.	Z:-------------	AuxK

vesm9303-048-p4s1
1	*	Z:-------------	ExD
2	Petrovi	NNMS3-----A----	Atr
3	Jiráskovi	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Heřmanův	AUIS1M---------	Atr
6	Městec	NNIS1-----A----	ExD
7	,	Z:-------------	Coord
8	III	C}-------------	Atr
9	.	Z:-------------	AuxG
10	roč	NNIXX-----A---8	ExD
11	.	Z:-------------	AuxG
12	,	Z:-------------	ExD
13	za	RR--4----------	AuxP
14	vynikající	AGIP4-----A----	Atr
15	studijní	AAIP4----1A----	Atr
16	výsledky	NNIP4-----A----	ExD
17	(	Z:-------------	ExD
18	průměr	NNIS1-----A----	ExD
19	1.0	C=-------------	Atr
20	)	Z:-------------	ExD
21	a	J^-------------	Coord
22	studentskou	AAFS4----1A----	Atr
23	pedagogickou	AAFS4----1A----	Atr
24	činnost	NNFS4-----A----	ExD
25	na	RR--6----------	AuxP
26	Ústavu	NNIS6-----A---1	Atr
27	anatomie	NNFS2-----A----	Atr

vesm9303-048-p5s1
1	*	Z:-------------	ExD
2	Lubomíru	NNMS3-----A---1	Atr
3	Slávikovi	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Žilina	NNFS1-----A----	ExD
6	,	Z:-------------	Coord
7	III	C}-------------	Atr
8	.	Z:-------------	AuxG
9	roč	NNIXX-----A---8	ExD
10	.	Z:-------------	AuxG
11	,	Z:-------------	ExD
12	za	RR--4----------	AuxP
13	výborné	AAIP4----1A----	Atr
14	studijní	AAIP4----1A----	Atr
15	výsledky	NNIP4-----A----	ExD
16	(	Z:-------------	ExD
17	průměr	NNIS1-----A----	ExD
18	1.33	C=-------------	Atr
19	)	Z:-------------	ExD
20	a	J^-------------	Coord
21	studentskou	AAFS4----1A----	Atr
22	pedagogickou	AAFS4----1A----	Atr
23	činnost	NNFS4-----A----	ExD
24	na	RR--6----------	AuxP
25	Ústavu	NNIS6-----A---1	Atr
26	anatomie	NNFS2-----A----	Atr
27	.	Z:-------------	AuxK

vesm9303-048-p5s2
1	Na	RR--6----------	AuxP
2	Ortopedické	AAFS6----1A----	Atr
3	klinice	NNFS6-----A----	Adv
4	pracuje	VB-S---3P-AA---	Pred
5	jako	J,-------------	AuxY
6	sanitář	NNMS1-----A----	AtvV
7	.	Z:-------------	AuxK

vesm9303-048-p6s1
1	*	Z:-------------	ExD
2	Tereze	NNFS3-----A----	Atr
3	Jedinákové	NNFS3-----A----	ExD
4	,	Z:-------------	ExD
5	Praha	NNFS1-----A----	ExD
6	4	C=-------------	Atr
7	,	Z:-------------	Coord
8	IV	C}-------------	Atr
9	.	Z:-------------	AuxG
10	roč	NNIXX-----A---8	ExD
11	.	Z:-------------	AuxG
12	,	Z:-------------	ExD
13	za	RR--4----------	AuxP
14	výborné	AAIP4----1A----	Atr
15	studijní	AAIP4----1A----	Atr
16	výsledky	NNIP4-----A----	ExD
17	(	Z:-------------	ExD
18	průměr	NNIS1-----A----	ExD
19	(	Z:-------------	AuxG
20	1.50	C=-------------	Atr
21	)	Z:-------------	ExD
22	a	J^-------------	Coord
23	studentskou	AAFS4----1A----	Atr
24	vědeckou	AAFS4----1A----	Atr
25	činnost	NNFS4-----A----	ExD
26	na	RR--6----------	AuxP
27	II	C}-------------	Atr
28	.	Z:-------------	AuxG
29	interní	AAFS6----1A----	Atr
30	klinice	NNFS6-----A----	Atr
31	(	Z:-------------	ExD
32	téma	NNNS1-----A----	ExD
33	sledování	NNNS1-----A----	Atr
34	hypertenze	NNFS2-----A----	Atr
35	a	J^-------------	Coord
36	hypercholestrolemie	NNFS2-----A----	Atr
37	u	RR--2----------	AuxP
38	dětí	NNFP2-----A----	Atr
39	)	Z:-------------	ExD
40	.	Z:-------------	AuxK

vesm9303-048-p7s1
1	*	Z:-------------	ExD
2	Pavlu	NNMS3-----A---1	Atr
3	Barsovi	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Ústí	NNNS1-----A----	ExD
6	nad	RR--7----------	AuxP
7	Labem	NNNS7-----A----	Atr
8	,	Z:-------------	Coord
9	IV	C}-------------	Atr
10	.	Z:-------------	AuxG
11	roč	NNIXX-----A---8	ExD
12	.	Z:-------------	AuxG
13	,	Z:-------------	ExD
14	za	RR--4----------	AuxP
15	výborný	AAIS4----1A----	Atr
16	studijní	AAIS4----1A----	Atr
17	prospěch	NNIS4-----A----	ExD
18	(	Z:-------------	ExD
19	průměr	NNIS1-----A----	ExD
20	11440	C=-------------	Atr
21	)	Z:-------------	ExD
22	a	J^-------------	Coord
23	studentskou	AAFS4----1A----	Atr
24	vědeckou	AAFS4----1A----	Atr
25	činnost	NNFS4-----A----	ExD
26	na	RR--6----------	AuxP
27	Ústavu	NNIS6-----A---1	Atr
28	jazyků	NNIP2-----A----	Atr
29	(	Z:-------------	ExD
30	příprava	NNFS1-----A----	ExD
31	česko	A2--------A----	Atr
32	-	Z:-------------	Coord
33	anglického	AAIS2----1A----	Atr
34	slovníku	NNIS2-----A----	Atr
35	pro	RR--4----------	AuxP
36	zahraniční	AAMP4----1A----	Atr
37	studenty	NNMP4-----A----	Atr
38	)	Z:-------------	ExD
39	.	Z:-------------	AuxK

vesm9303-048-p8s1
1	*	Z:-------------	ExD
2	Patriku	NNMS3-----A---1	Atr
3	Grexovi	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Bratislava	NNFS1-----A----	ExD
6	,	Z:-------------	Coord
7	V	C}-------------	Atr
8	.	Z:-------------	AuxG
9	roč	NNIXX-----A---8	ExD
10	.	Z:-------------	AuxG
11	,	Z:-------------	ExD
12	za	RR--4----------	AuxP
13	velmi	Db-------------	Adv
14	dobrý	AAIS4----1A----	Atr
15	prospěch	NNIS4-----A----	ExD
16	(	Z:-------------	ExD
17	průměr	NNIS1-----A----	ExD
18	1.77	C=-------------	Atr
19	)	Z:-------------	ExD
20	,	Z:-------------	AuxX
21	aktivní	AAFS4----1A----	Atr
22	práci	NNFS4-----A----	ExD
23	v	RR--6----------	AuxP
24	Akademickém	AAIS6----1A----	Atr
25	senátu	NNIS6-----A---1	Atr
26	,	Z:-------------	Coord
27	studentské	AAFS6----1A----	Atr
28	organizaci	NNFS6-----A----	ExD
29	Medici	NNMP1-----A----	Atr
30	di	RR--X----------	AuxP
31	Praga	NNFS1-----A----	Atr
32	a	J^-------------	Coord
33	za	RR--4----------	AuxP
34	všeobecný	AAIS4----1A----	Atr
35	zájem	NNIS4-----A----	ExD
36	o	RR--4----------	AuxP
37	přírodní	AAFP4----1A----	Atr
38	a	J^-------------	Coord
39	technické	AAFP4----1A----	Atr
40	vědy	NNFP4-----A----	Atr
41	.	Z:-------------	AuxK

vesm9303-048-p9s1
1	*	Z:-------------	ExD
2	Zuzaně	NNFS3-----A----	Atr
3	Otrubové	NNFS3-----A----	ExD
4	,	Z:-------------	ExD
5	Banská	AAFS1----1A----	Atr
6	BYstrica	NNFS1-----A----	ExD
7	,	Z:-------------	Coord
8	V	C}-------------	Atr
9	.	Z:-------------	AuxG
10	roč	NNIXX-----A---8	ExD
11	.	Z:-------------	AuxG
12	,	Z:-------------	ExD
13	za	RR--4----------	AuxP
14	vynikající	AGIP4-----A----	Atr
15	studijní	AAIP4----1A----	Atr
16	výsledky	NNIP4-----A----	ExD
17	(	Z:-------------	ExD
18	průměr	NNIS1-----A----	ExD
19	1.55	C=-------------	Atr
20	)	Z:-------------	ExD
21	,	Z:-------------	Coord
22	práci	NNFS4-----A----	ExD
23	na	RR--6----------	AuxP
24	I	C}-------------	Atr
25	.	Z:-------------	AuxG
26	interní	AAFS6----1A----	Atr
27	klinice	NNFS6-----A----	Atr
28	,	Z:-------------	Coord
29	ve	RV--6----------	AuxP
30	studentské	AAFS6----1A----	Atr
31	organizaci	NNFS6-----A----	Atr
32	Medici	NNMP1-----A----	Atr
33	di	RR--X----------	AuxP
34	Praga	NNFS1-----A----	Atr
35	a	J^-------------	Coord
36	za	RR--4----------	AuxP
37	reprezentaci	NNFS4-----A----	Atr
38	fakulty	NNFS2-----A----	Atr
39	ve	RV--6----------	AuxP
40	sportovních	AAFP6----1A----	Atr
41	a	J^-------------	Coord
42	kulturních	AAFP6----1A----	Atr
43	akcích	NNFP6-----A----	Atr
44	.	Z:-------------	AuxK

vesm9303-048-p10s1
1	*	Z:-------------	ExD
2	Kamilu	NNMS3-----A---1	Atr
3	Kolejákovi	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Stará	AAFS1----1A----	Atr
6	Lubovňa	NNFS1-----A----	ExD
7	,	Z:-------------	Coord
8	VI	C}-------------	Atr
9	.	Z:-------------	AuxG
10	roč	NNIXX-----A---8	ExD
11	.	Z:-------------	AuxG
12	za	RR--4----------	AuxP
13	vynikající	AGIP4-----A----	Atr
14	studijní	AAIP4----1A----	Atr
15	výsledky	NNIP4-----A----	ExD
16	(	Z:-------------	ExD
17	průměr	NNIS1-----A----	ExD
18	1.0	C=-------------	Atr
19	)	Z:-------------	ExD
20	,	Z:-------------	Coord
21	práci	NNFS4-----A----	ExD
22	na	RR--6----------	AuxP
23	klinice	NNFS6-----A----	Atr
24	plastické	AAFS2----1A----	Atr
25	chirurgie	NNFS2-----A----	Atr
26	(	Z:-------------	ExD
27	samostatná	AAFS1----1A----	Atr
28	práce	NNFS1-----A----	ExD
29	na	RR--6----------	AuxP
30	ambulanci	NNFS6-----A----	Atr
31	,	Z:-------------	AuxX
32	úrazovém	AAIS6----1A----	Atr
33	sále	NNIS6-----A----	Atr
34	a	J^-------------	Coord
35	oddělení	NNNS6-----A----	Atr
36	kliniky	NNFS2-----A----	Atr
37	)	Z:-------------	ExD
38	a	J^-------------	Coord
39	za	RR--4----------	AuxP
40	aktivní	AAFS4----1A----	Atr
41	činnost	NNFS4-----A----	ExD
42	v	RR--6----------	AuxP
43	Akademickém	AAIS6----1A----	Atr
44	senátu	NNIS6-----A---1	Adv
45	.	Z:-------------	AuxK

vesm9303-048-p11s1
1	*	Z:-------------	ExD
2	Jiřímu	NNMS3-----A----	Atr
3	Zezulákovi	NNMS3-----A----	ExD
4	,	Z:-------------	ExD
5	Praha	NNFS1-----A----	ExD
6	2	C=-------------	Atr
7	,	Z:-------------	Coord
8	VI	C}-------------	Atr
9	.	Z:-------------	AuxG
10	roč	NNIXX-----A---8	ExD
11	.	Z:-------------	AuxG
12	,	Z:-------------	ExD
13	za	RR--4----------	AuxP
14	výborné	AAIP4----1A----	Atr
15	studijní	AAIP4----1A----	Atr
16	výsledky	NNIP4-----A----	ExD
17	(	Z:-------------	ExD
18	průměr	NNIS1-----A----	ExD
19	1.42	C=-------------	Atr
20	)	Z:-------------	ExD
21	,	Z:-------------	Coord
22	práci	NNFS4-----A----	ExD
23	na	RR--6----------	AuxP
24	Psychiatrické	AAFS6----1A----	Atr
25	klinice	NNFS6-----A----	Atr
26	(	Z:-------------	ExD
27	služba	NNFS1-----A----	ExD
28	na	RR--6----------	AuxP
29	jednotce	NNFS6-----A----	Atr
30	intenzívní	AAFS2----1A----	Atr
31	péče	NNFS2-----A----	Atr
32	)	Z:-------------	ExD
33	,	Z:-------------	AuxX
34	za	RR--4----------	AuxP
35	aktivní	AAFS4----1A----	Atr
36	práci	NNFS4-----A----	ExD
37	v	RR--6----------	AuxP
38	Akademickém	AAIS6----1A----	Atr
39	senátu	NNIS6-----A---1	Atr
40	,	Z:-------------	Coord
41	studentské	AAFS6----1A----	Atr
42	organizaci	NNFS6-----A----	Atr
43	Medici	NNMP1-----A----	Atr
44	di	RR--X----------	AuxP
45	Praga	NNFS1-----A----	Atr
46	a	J^-------------	Coord
47	za	RR--4----------	AuxP
48	všeobecný	AAIS4----1A----	Atr
49	zájem	NNIS4-----A----	ExD
50	o	RR--4----------	AuxP
51	přírodní	AAFP4----1A----	Atr
52	a	J^-------------	Coord
53	technické	AAFP4----1A----	Atr
54	vědy	NNFP4-----A----	Atr
55	.	Z:-------------	AuxK

vesm9303-048-p12s1
1	Doc	NNFXX-----A---8	Atr
2	.	Z:-------------	AuxG
3	MUDr	NNFXX-----A---8	Atr
4	.	Z:-------------	AuxG
5	Hana	NNFS1-----A----	Atr
6	Provazníková	NNFS1-----A----	ExD
7	,	Z:-------------	AuxX
8	CSc	NNMXX-----A---8	Atr
9	.	Z:-------------	AuxG

